Album Nummer,Jahr,Ebene1-Anteil,Ebene2-Anteil,Ebene3-Anteil,Ebene4-Anteil,c_Ebene1-Anteil,c_Ebene2-Anteil,c_Ebene3-Anteil,c_Ebene4-Anteil,Ebene1 und 2-Anteile,Ebene3 und 4-Anteile,cEbene1 und 2-Anteile,cEbene3 und 4-Anteile
8,1967,0.480475668,0.234966686,0.216074892,0.068482753,0.542674578,0.230488361,0.163852122,0.062984938,0.715442355,0.284557645,0.773162939,0.226837061
8,1967,0.10482866,0.19182243,0.243302181,0.460046729,0.056338028,0,0.485915493,0.457746479,0.29665109,0.70334891,0.056338028,0.943661972
8,1967,0.305614865,0.293496451,0.173062496,0.227826187,0.440753045,0.413067553,0.053156146,0.093023256,0.599111316,0.400888684,0.853820598,0.146179402
8,1967,0.246365553,0.50800873,0.244441978,0.001183738,0.17339097,0.582132565,0.243996158,0.000480307,0.754374283,0.245625717,0.755523535,0.244476465
8,1967,0.328469751,0.281316726,0.267081851,0.123131673,0.326906223,0.330411919,0.155127082,0.187554777,0.609786477,0.390213523,0.657318142,0.342681858
8,1967,0.262578616,0.290578133,0.378961055,0.067882196,0.269274376,0.148526077,0.525510204,0.056689342,0.553156749,0.446843251,0.417800454,0.582199546
8,1967,0.237351045,0.302012112,0.349482321,0.111154522,0.218678815,0.529612756,0.203872437,0.047835991,0.539363157,0.460636843,0.748291572,0.251708428
8,1967,0.309232219,0.207724918,0.317239755,0.165803109,0.371428571,0.142857143,0.338095238,0.147619048,0.516957136,0.483042864,0.514285714,0.485714286
8,1967,0.368118324,0.145028759,0.359490551,0.127362366,0.293586269,0.224028907,0.283649503,0.198735321,0.513147083,0.486852917,0.517615176,0.482384824
8,1967,0.352701894,0.328135593,0.277248255,0.041914257,0.439845475,0.200883002,0.334988962,0.024282561,0.680837488,0.319162512,0.640728477,0.359271523
8,1967,0.367430442,0.321331151,0.261047463,0.050190944,0.386363636,0.322727273,0.209090909,0.081818182,0.688761593,0.311238407,0.709090909,0.290909091
8,1967,0.302232143,0.285714286,0.341071429,0.070982143,0.368896926,0.302893309,0.179023508,0.149186257,0.587946429,0.412053571,0.671790235,0.328209765
8,1967,0.457862117,0.293847039,0.154878283,0.093412561,0.162995595,0.581497797,0.169603524,0.085903084,0.751709156,0.248290844,0.744493392,0.255506608
9,1967,0.328291815,0.410587189,0.23773513,0.023385867,0.464585834,0.354141657,0.151260504,0.030012005,0.738879004,0.261120996,0.818727491,0.181272509
9,1967,0.228589225,0.504619537,0.26014741,0.006643829,0.382695507,0.579034942,0.038269551,0,0.733208762,0.266791238,0.961730449,0.038269551
9,1967,0.463361575,0.358942065,0.11231967,0.065376689,0.899363057,0.003821656,0.028025478,0.068789809,0.822303641,0.177696359,0.903184713,0.096815287
9,1967,0.414506415,0.324430479,0.216025137,0.045037968,0.416666667,0.35,0.101666667,0.131666667,0.738936894,0.261063106,0.766666667,0.233333333
9,1967,0.331847134,0.369062784,0.257597816,0.041492266,0.471580817,0.306394316,0.186500888,0.035523979,0.700909918,0.299090082,0.777975133,0.222024867
9,1967,0.234365735,0.203165625,0.275555353,0.286913287,0.236459301,0.283194058,0.17084494,0.309501702,0.43753136,0.56246864,0.519653358,0.480346642
9,1967,0.354753666,0.261822376,0.216345362,0.167078596,0.405376344,0.299641577,0.05125448,0.243727599,0.616576042,0.383423958,0.705017921,0.294982079
9,1967,0.25578052,0.265484605,0.261411285,0.217323589,0.413043478,0.198209719,0.106138107,0.282608696,0.521265125,0.478734875,0.611253197,0.388746803
9,1967,0.346842744,0.310261081,0.222829387,0.120066788,0.477732794,0.118565645,0.350491614,0.053209948,0.657103825,0.342896175,0.596298438,0.403701562
9,1967,0.417919932,0.244333828,0.232048295,0.105697945,0.523346304,0.081712062,0.309338521,0.085603113,0.66225376,0.33774624,0.605058366,0.394941634
9,1967,0.307823129,0.327593537,0.271045918,0.093537415,0.510775862,0.150862069,0.338362069,0,0.635416667,0.364583333,0.661637931,0.338362069
10,1968,0.368699826,0.217619796,0.255193247,0.158487131,0.411304052,0.346271706,0.081375553,0.161048689,0.586319623,0.413680377,0.757575758,0.242424242
10,1968,0.225948558,0.327980674,0.230353844,0.215716925,0.219035202,0.341590613,0.056062581,0.383311604,0.553929231,0.446070769,0.560625815,0.439374185
10,1968,0.461904762,0.287301587,0.148412698,0.102380952,0.519480519,0.203463203,0.155844156,0.121212121,0.749206349,0.250793651,0.722943723,0.277056277
10,1968,0.435544091,0.230670016,0.180028511,0.153757382,0.507731959,0.032646048,0.189003436,0.270618557,0.666214106,0.333785894,0.540378007,0.459621993
10,1968,0.486765243,0.317542899,0.080321285,0.115370573,0.581027668,0.166007905,0.191699605,0.061264822,0.804308142,0.195691858,0.747035573,0.252964427
10,1968,0.380520951,0.355091115,0.255842685,0.008545249,0.392908481,0.5376138,0.069477719,0,0.735612066,0.264387934,0.930522281,0.069477719
10,1968,0.304990539,0.197256386,0.293046358,0.204706717,0.156626506,0.472891566,0.063253012,0.307228916,0.502246925,0.497753075,0.629518072,0.370481928
10,1968,0.434269258,0.18862491,0.264218862,0.112886969,0.251214434,0.304649549,0.167938931,0.276197085,0.622894168,0.377105832,0.555863983,0.444136017
10,1968,0.336697909,0.29740447,0.362112473,0.003785148,0.384615385,0.307692308,0.307692308,0,0.634102379,0.365897621,0.692307692,0.307692308
