song_title; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
all_ive_got_to_do;130.625;0;34.9375;0;97.6875;48.625;0;43.0625;6.625;105.0625;0;2.125;25.25[('major', 24.25), ('interval class 5', 1.0)];0[None];9.75[('minor', 8.25), ('dim-aug ninth', 1.5)];0[None];0[None];16.5[('major', 12.375), ('minor', 4.125)];0[None];0[None];0[None];32.125[('minor', 22.125), ('interval class 3', 10)];0[None];0[None]
all_my_loving;124.34375;0;112.5;6.0;122.5;87.9375;0;100.75;5.0;93.21875;13.5;37.21875;35.625[('major', 31.75), ('minor 7', 2.25), ('interval class 5', 1.25), ('interval class 4', 0.375)];0[None];20.375[('minor', 19.625), ('interval class 5', 0.5), ('interval class 3', 0.25)];0[None];0.375[('interval class 3', 0.375)];18.5[('major', 15.375), ('interval class 4', 1.5), ('7', 1.5), ('interval class 5', 0.125)];0[None];29.875[('major', 20.625), ('7', 9.125), ('interval class 4', 0.125)];2.0[('aug', 2.0)];19.5[('minor', 19.25), ('interval class 3', 0.25)];6.75[('major', 6.0), ('interval class 5', 0.75)];0.125[('tritone', 0.125)]
devil_in_her_heart;150.375;0.75;94.25;0.375;43.375;93.375;3.375;106.25;15.75;72.0;12.25;29.125;31.5[('interval class 4', 13.75), ('major', 11.375), ('7', 6.0), ('interval class 5', 0.25), ('perfect-fourth major tetrachord', 0.125)];0[None];24.25[('minor 7', 9.625), ('interval class 5', 9.0), ('7', 3.0), ('interval class 3', 2.625)];0.375[('interval class 3', 0.375)];5.125[('interval class 3', 4.125), ('interval class 5', 1.0)];30.0[('major', 12.875), ('interval class 5', 10), ('minor', 6.0), ('interval class 4', 1.125)];0[None];13.375[('7', 12.625), ('interval class 4', 0.75)];0[None];3.875[('interval class 3', 1.125), ('major pentatonic', 1.0), ('minor 7', 1.0), ('interval class 4', 0.75)];0[None];3.125[('interval class 3', 3.125)]
dont_bother_me;130.9375;5.0;109.8125;0;212.8125;26.5;26.25;80.25;10.75;292.4375;0;67.8125;16.25[('major', 11.25), ('interval class 5', 5.0)];0[None];34.25[('major', 26.25), ('minor', 8.0)];0[None];18.25[('major', 10.0), ('minor', 8.0), ('unison', 0.25)];8.0[('major', 8.0)];0[None];13.5[('major', 12.5), ('interval class 4', 1.0)];0[None];61.375[('minor', 53.375), ('major', 5.0), ('interval class 5', 1.5), ('unison', 1.375), ('interval class 2', 0.125)];0[None];0[None]
hold_me_tight;205.75;0.25;62.875;37.5;57.125;84.9375;14.625;122.6875;12.875;56.125;12.75;19.75;55.25[('major', 30.0), ('interval class 5', 16.25), ('minor', 7.5), ('interval class 4', 1.5)];0[None];12.0[('7', 9.0), ('interval class 5', 2.0), ('minor', 1)];2.25[('interval class 3', 2.25)];4.5[('interval class 3', 4.5)];12.0[('7', 10.0), ('interval class 3', 2.0)];0[None];8.25[('major', 4.0), ('interval class 4', 2.5), ('interval class 5', 1.75)];0.5[('tritone', 0.5)];20.5[('7', 11.0), ('interval class 3', 4.5), ('major', 3.5), ('interval class 4', 1.0), ('interval class 2', 0.5)];0.25[('interval class 3', 0.25)];0[None]
i_wanna_be_your_man;167.5;7.625;34.625;2.6875;58.375;22.875;2.375;134.5;0;15.75;65.125;14.25;54.375[('interval class 5', 40.0), ('major', 6.5), ('interval class 4', 5.625), ('unison', 2.25)];0.75[('unison', 0.75)];9.375[('interval class 5', 6.0), ('interval class 4', 1.875), ('unison', 1.5)];1.875[('major', 1.5), ('interval class 4', 0.375)];42.25[('dim', 37.0), ('7', 3.0), ('interval class 3', 2.25)];0[None];0[None];10.875[('7', 6.0), ('interval class 2', 2.625), ('unison', 2.25)];0[None];1.875[('unison', 1.875)];13.25[('interval class 5', 6.0), ('interval class 3', 3.125), ('major', 3.0), ('unison', 0.75), ('interval class 4', 0.375)];4.125[('unison', 4.125)]
it_wont_be_long;114.875;7.25;22.0;20.125;45.5;27.125;3.5;61.46875;21.25;58.0;6.0;17.875;24.125[('major', 16.125), ('interval class 4', 3.0), ('unison', 2.5), ('interval class 5', 1.0), ('major 7', 1), ('major pentatonic', 0.25), ('minor', 0.25)];2.25[('unison', 2.0), ('major 7', 0.25)];3.25[('unison', 1.5), ('minor 7', 1.5), ('7', 0.25)];4.0[('unison', 2.0), ('aug', 2)];2.0[('unison', 1.0), ('interval class 5', 1)];7.25[('interval class 5', 3.75), ('major', 3.5)];3.25[('tritone', 1.75), ('major-dim tetrachord', 1.5)];7.25[('7', 4.0), ('minor', 1.25), ('major', 1.0), ('interval class 5', 0.5), ('interval class 3', 0.5)];9.0[('interval class 5', 6), ('major', 3.0)];11.0[('minor', 7.0), ('interval class 5', 4.0)];0[None];4.0[('unison', 2.0), ('tritone', 2)]
little_child;172.8125;3.03125;66.90625;2.53125;70.375;69.0625;13.75;171.71875;0.03125;48.125;39.03125;20.125;50.875[('7', 28.875), ('major', 19.75), ('interval class 2', 0.75), ('unison', 0.75), ('interval class 5', 0.5), ('interval class 4', 0.25)];0[None];12.125[('7', 8.25), ('quartal', 3.5), ('interval class 3', 0.375)];0[None];7.625[('interval class 3', 5.75), ('dim', 1.875)];18.875[('major', 12.25), ('interval class 4', 5.125), ('7', 1.0), ('quartal', 0.5)];3.5[('dim', 3.5)];24.875[('7', 15.75), ('minor', 3.5), ('interval class 4', 2.25), ('interval class 3', 1.875), ('tritone quartal tetrachord', 1.5)];0[None];1.125[('interval class 3', 1.125)];0[None];0[None]
money_thats_what_i_want;309.0625;0;36.0;102.625;98.625;137.65625;0;236.5;4.5;70.0;77.71875;25.875;98.75[('7', 65.25), ('interval class 3', 17.0), ('major', 14.5), ('interval class 5', 2.0)];0[None];1.0[('minor', 1.0)];26.5[('interval class 4', 26.5)];1.0[('dim', 1.0)];57.5[('7', 30.875), ('interval class 4', 16.0), ('major', 10.625)];0[None];23.375[('7', 21.125), ('major', 0.875), ('interval class 5', 0.875), ('minor', 0.5)];4.5[('interval class 4', 4.5)];11.5[('minor', 10.0), ('dim', 1.5)];4.0[('major', 4.0)];1.5[('dim', 1.5)]
not_a_second_time;132.625;0;73.25;0;128.40625;23.0;4.375;89.28125;0;119.5;0;36.0;26.25[('major', 26.25)];0[None];14.125[('minor', 7.5), ('7', 4.375), ('minor 7', 2.25)];0[None];8.5[('minor', 4.375), ('minor 7', 4.125)];0[None];0[None];15.75[('7', 10.0), ('major', 5.75)];0[None];22.375[('minor', 22.375)];0[None];0.75[('half-dim 7', 0.75)]
please_mr_postman;102.5625;0;42.8125;0.125;118.375;63.125;0.75;132.875;0.125;123.75;0;26.625;23.625[('major', 20.0), ('interval class 5', 2.625), ('interval class 4', 1.0)];0[None];0[None];0[None];15.25[('interval class 3', 12.875), ('minor', 1.75), ('interval class 5', 0.375), ('unison', 0.25)];30.375[('major', 18.0), ('interval class 4', 10.625), ('maj7', 1.75)];0[None];22.125[('major', 14.25), ('interval class 4', 7.625), ('unison', 0.25)];0[None];32.875[('minor', 19.25), ('interval class 5', 13.625)];0[None];0.75[('tritone', 0.75)]
roll_over_beethoven;128.9375;0;28.625;25.09375;29.46875;39.0625;0.34375;74.6875;0;31.25;8.8125;4.09375;39.5[('interval class 5', 20.375), ('major', 10.0), ('interval class 2', 7.625), ('interval class 4', 1.5)];0[None];8.0[('interval class 3', 8.0)];5.0[('interval class 4', 5.0)];2.0[('interval class 3', 2.0)];14.875[('interval class 5', 9.875), ('interval class 2', 4.0), ('7', 1.0)];0[None];5.625[('interval class 5', 4.625), ('interval class 2', 1.0)];0[None];15.25[('interval class 3', 15.25)];0[None];0[None]
till_there_was_you;92.75;17.1875;44.9375;11.25;34.28125;37.375;6.3125;66.75;11.0625;33.25;10.25;16.9375;22.875[('major', 16.5), ('minor 7', 4.375), ('minor', 1.0), ('major 7', 1.0)];1.0[('all-interval tetrachord', 1.0)];4.125[('minor', 2.25), ('7', 1.75), ('major-second major tetrachord', 0.125)];1.875[('major pentatonic', 1.0), ('minor 7', 0.5), ('interval class 5', 0.25), ('minor', 0.125)];3.125[('major pentatonic', 1.75), ('minor', 0.875), ('minor 7', 0.5)];0.125[('minor 7', 0.125)];0.75[('major', 0.75)];5.625[('major', 3.125), ('aug', 1.75), ('minor', 0.75)];0.5[('interval class 5', 0.5)];13.5[('minor 7', 6.5), ('major pentatonic', 3.0), ('major', 1.75), ('minor-aug tetrachord', 1.0), ('major-second major tetrachord', 0.75), ('interval class 5', 0.5)];5.875[('dim 7', 4.25), ('major pentatonic', 1.625)];0.875[('minor 7', 0.75), ('major pentatonic', 0.125)]
you_really_got_a_hold_on_me;141.625;0.375;37.0;0.375;104.25;24.75;6.5;110.59375;0;106.5625;6.875;17.0;43.75[('major', 31.375), ('7', 4.75), ('interval class 5', 4.375), ('interval class 4', 3.25)];0[None];6.125[('interval class 5', 3.125), ('7', 2.25), ('minor', 0.75)];0[None];1.125[('tritone', 1.125)];8.0[('major', 7.5), ('interval class 4', 0.5)];0[None];10.875[('7', 4.75), ('major', 2.625), ('interval class 5', 2.5), ('interval class 3', 1.0)];0[None];26.625[('minor', 22.375), ('interval class 5', 2.5), ('interval class 3', 1.75)];0[None];3.625[('minor', 2.125), ('dim', 1.5)]
