song_title; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
back_in_the_ussr;231.0;1.75;33.3125;75.3125;47.875;146.53125;2.25;116.46875;1.0625;47.4375;39.3125;12.875;66.875[('major', 27.5), ('interval class 5', 24.5), ('unison', 5.875), ('7', 5.0), ('interval class 3', 4.0)];0.5[('unison', 0.5)];12.5[('interval class 3', 8.0), ('interval class 5', 2.0), ('minor 7', 1.0), ('7', 0.5), ('interval class 4', 0.5), ('unison', 0.5)];24.3125[('major', 12.0), ('interval class 5', 9.0), ('unison', 3.3125)];2.4375[('unison', 1.4375), ('interval class 5', 1.0)];48.6875[('major', 24.8125), ('interval class 5', 16.0), ('7', 3.0), ('maj7', 2.0), ('unison', 1.875), ('major 7', 1.0)];0.5[('unison', 0.5)];14.875[('7', 10.125), ('interval class 5', 2.5), ('interval class 4', 1.0), ('major', 0.75), ('unison', 0.5)];0.5[('unison', 0.5)];8.625[('interval class 3', 7.0), ('unison', 1.625)];3.75[('unison', 2.25), ('major-second major tetrachord', 1.25), ('major', 0.25)];0[None]
birthday;67.5;1.0;51.0;27.625;34.125;40.5625;0;110.125;7.75;31.875;58.5;9.75;20.25[('major', 13.0), ('interval class 4', 5.75), ('quartal', 1.5)];0[None];1.0[('interval class 3', 0.5), ('minor', 0.5)];18.25[('major', 16.0), ('interval class 4', 2.25)];3.875[('tritone', 2.25), ('interval class 3', 0.875), ('7', 0.375), ('minor', 0.375)];7.25[('major', 5.0), ('interval class 5', 1.75), ('interval class 4', 0.5)];0[None];25.5[('unison', 8.0), ('interval class 5', 7.875), ('major', 5.625), ('interval class 2', 2.375), ('interval class 3', 1.25), ('interval class 4', 0.375)];0[None];0.75[('tritone', 0.5), ('interval class 5', 0.25)];18.5[('major', 16.0), ('interval class 5', 1.25), ('interval class 2', 0.75), ('unison', 0.5)];0.5[('dim', 0.5)]
blackbird;32.0625;0;3.5;0.75;13.25;7.4375;3.75;9.375;2.0625;4.3125;1.5;0.75;13.5[('interval class 4', 10.125), ('interval class 5', 1.3125), ('unison', 1.125), ('major', 0.9375)];0[None];2.0[('interval class 4', 1.125), ('interval class 3', 0.875)];0[None];2.5[('interval class 3', 2.5)];2.75[('interval class 4', 2.0), ('interval class 5', 0.75)];1.75[('tritone', 1.75)];3.125[('interval class 2', 1.375), ('interval class 4', 1.25), ('interval class 3', 0.5)];0.75[('tritone', 0.375), ('interval class 3', 0.375)];1.5[('interval class 3', 1.5)];1.0[('interval class 4', 0.5), ('quartal', 0.25), ('interval class 5', 0.25)];0[None]
cry_baby_cry;104.125;2.5;41.5;9.1875;65.5625;39.0625;14.75;40.625;10.4375;96.375;33.90625;2.3125;14.125[('major', 13.0), ('interval class 4', 1.125)];0[None];10.1875[('minor', 4.5), ('7', 3.0), ('interval class 3', 1.25), ('major', 1.25), ('interval class 5', 0.1875)];5.5[('7', 5.5)];3.25[('interval class 3', 3.25)];1.375[('interval class 4', 1.0), ('interval class 5', 0.375)];5.0[('half-dim 7', 4.0), ('interval class 3', 1.0)];1.0[('interval class 4', 1.0)];0[None];22.8125[('minor', 10.0), ('minor-aug tetrachord', 4.0), ('minor 7', 4.0), ('unison', 3.5), ('interval class 5', 1.0), ('interval class 3', 0.3125)];9.1875[('major', 9.0), ('interval class 4', 0.1875)];0.3125[('interval class 3', 0.3125)]
dear_prudence;146.6875;0.25;12.46875;2.59375;40.9375;14.28125;1.3125;67.78125;12.8125;19.96875;22.53125;0.75;30.875[('interval class 5', 13.5), ('major', 6.75), ('unison', 4.0), ('aug major tetrachord', 3.25), ('7', 2.25), ('quartal', 1), ('interval class 2', 0.125)];0[None];0.25[('unison', 0.25)];0.625[('interval class 4', 0.5), ('interval class 5', 0.125)];11.875[('interval class 3', 4.0), ('tritone', 2.625), ('interval class 4', 2.25), ('unison', 1.625), ('dim', 1.375)];3.875[('interval class 4', 2.0), ('unison', 0.75), ('major', 0.5), ('perfect-fourth major tetrachord', 0.5), ('interval class 5', 0.125)];0.125[('interval class 5', 0.125)];6.625[('unison', 4.5), ('interval class 2', 1.625), ('interval class 5', 0.25), ('interval class 3', 0.25)];0[None];5.875[('minor 7', 3.25), ('interval class 5', 2.25), ('interval class 2', 0.25), ('unison', 0.125)];3.125[('interval class 5', 1.0625), ('interval class 4', 1.0625), ('major', 1.0)];0[None]
dont_pass_me_by;171.25;0.125;53.4375;4.625;84.8125;70.5;0.25;130.75;0;59.75;0.1875;31.375;50.875[('major', 47.0), ('quartal', 2.5), ('interval class 4', 1.375)];0[None];0.75[('minor', 0.5), ('interval class 3', 0.25)];0[None];5.375[('interval class 3', 5.0625), ('interval class 2', 0.25), ('unison', 0.0625)];45.125[('major', 43.75), ('maj7', 0.5), ('interval class 4', 0.375), ('interval class 1', 0.25), ('interval class 5', 0.25)];0[None];25.0[('major', 24.25), ('interval class 5', 0.75)];0[None];0.375[('interval class 5', 0.375)];0[None];2.9375[('interval class 3', 2.9375)]
everybodys_got_something_to_hide_except_me_and_my_monkey;65.4375;0.75;21.4375;8.625;20.0;51.75;0.125;32.125;0;15.15625;44.59375;4.25;6.5[('major', 6.5)];0.75[('major', 0.75)];1.5[('interval class 3', 1.5)];1.125[('major', 1.125)];1.125[('interval class 3', 1.125)];14.0[('major', 9.5), ('interval class 5', 4.5)];0[None];5.625[('interval class 5', 4.125), ('interval class 3', 1.5)];0[None];0[None];10.875[('major', 6.375), ('interval class 5', 4.5)];0[None]
glass_onion;93.1875;1.0;40.25;17.5;49.375;68.5625;16.75;32.5;1.25;95.3125;12.5;5.875;2.75[('major', 1.625), ('minor', 1.125)];1.0[('tritone', 1.0)];15.125[('major', 6.125), ('7', 6.0), ('minor 7', 3.0)];13.375[('7', 10.375), ('tritone', 3.0)];0[None];19.3125[('major', 19.3125)];3.875[('tritone', 3.0), ('dim', 0.875)];8.125[('major', 5.0), ('minor', 3.125)];1.0[('tritone', 1.0)];19.875[('minor', 16.875), ('minor 7', 3.0)];5.625[('7', 5.625)];0[None]
good_night;79.375;0;48.90625;0;49.40625;42.1875;0.5;53.71875;0;37.375;0.8125;34.46875;1.125[('major', 1.125)];0[None];0[None];0[None];2.5[('interval class 3', 1.25), ('minor', 1.25)];1.625[('interval class 4', 1.25), ('major', 0.375)];0[None];0.875[('interval class 4', 0.75), ('interval class 2', 0.125)];0[None];2[('interval class 3', 2)];0[None];0[None]
happiness_is_a_warm_gun;54.09375;5.0;14.71875;0.5;70.3125;30.65625;1.8125;51.3125;3.8125;56.875;0.75;17.78125;12.125[('major', 9.5), ('interval class 4', 1.125), ('unison', 1.125), ('interval class 5', 0.375)];0[None];1.6875[('interval class 3', 1.25), ('unison', 0.4375)];0[None];6.125[('interval class 3', 4.0), ('unison', 1.75), ('interval class 5', 0.375)];8.6875[('major', 3.375), ('interval class 4', 3.3125), ('minor', 2)];0.5[('interval class 3', 0.5)];7.5[('major', 3.25), ('interval class 4', 2.75), ('unison', 1.5)];1[('interval class 3', 1)];22.25[('interval class 5', 9.5625), ('minor', 6.0), ('7', 5.0), ('unison', 1.0), ('interval class 3', 0.6875)];0[None];3.0625[('dim', 1.125), ('interval class 3', 0.75), ('tritone', 0.75), ('interval class 5', 0.25), ('unison', 0.1875)]
