song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
babys_in_black;5;A;['None'];[('6/8', 1)];141.5625;0;54.5;2.3125;53.3125;62.1875;4.25;190.0;0;45.5625;5.625;24.875;35.3125[('major', 28.875), ('7', 4.125), ('interval class 4', 1.5625), ('interval class 5', 0.75)];0[None];3.375[('7', 3.0), ('interval class 3', 0.375)];0.25[('interval class 4', 0.25)];0.125[('interval class 3', 0.125)];21.0625[('major', 21.0), ('interval class 4', 0.0625)];0[None];21.5625[('major', 20.25), ('interval class 5', 1.3125)];0[None];3.0[('minor', 3.0)];0[None];0.25[('interval class 2', 0.25)]
eight_days_a_week;4;D;['None'];[('4/4', 1)];99.1875;0;93.5625;0;58.625;53.25;20.0;59.1875;0;106.9375;1.0;5.625;30.5625[('major', 14.0), ('interval class 4', 7.5), ('major-second major tetrachord', 6.5), ('interval class 5', 2.5625)];0[None];32.0625[('major', 16.25), ('minor 7', 6.5), ('interval class 5', 5.6875), ('quartal', 1.5), ('interval class 3', 1.375), ('interval class 4', 0.75)];0[None];1.625[('interval class 3', 1.5), ('interval class 5', 0.125)];14.875[('major', 9.375), ('interval class 5', 5.0), ('interval class 4', 0.5)];0[None];7.5[('major', 5.125), ('interval class 5', 1.375), ('quartal', 1.0)];0[None];12.25[('minor', 11.0), ('interval class 3', 0.75), ('interval class 5', 0.5)];1.0[('major-second major tetrachord', 1.0)];0.375[('interval class 3', 0.375)]
every_little_thing;4;A;['None'];[('4/4', 1)];100.5;0;59.625;0;36.125;46.25;3.25;86.5;0;12.625;59.25;8.625;30.75[('major', 27.25), ('quartal', 2.0), ('interval class 5', 1.5)];0[None];3.0[('major', 1.5), ('7', 1.5)];0[None];4.75[('interval class 3', 2.5), ('minor-7', 2.25)];8.0[('unison', 3.5), ('major', 3.5), ('interval class 4', 1.0)];0[None];12.125[('major', 5.25), ('7', 3.375), ('interval class 5', 2.5), ('unison', 1.0)];0[None];1.0[('interval class 5', 1.0)];20.0[('major', 17.5), ('interval class 5', 2.5)];0[None]
everybodys_trying_to_be_my_baby;4;E;['None'];[('4/4', 1)];258.0;0;17.5;17.875;75.75;74.125;3.375;169.375;0.125;40.625;22.0;12.25;64.75[('major', 57.375), ('interval class 5', 4.625), ('7', 1.25), ('minor', 1.125), ('interval class 4', 0.25), ('minor 7', 0.125)];0[None];0.25[('interval class 5', 0.25)];5.0[('interval class 5', 2.375), ('major-minor', 1.25), ('major-second major tetrachord', 0.5), ('interval class 4', 0.5), ('major', 0.25), ('major 7', 0.125)];1.75[('interval class 3', 1.5), ('tritone', 0.25)];24.125[('major', 24.0), ('minor', 0.125)];0.5[('dim', 0.5)];12.25[('7', 7.0), ('unison', 2.5), ('interval class 3', 1.125), ('major', 0.875), ('interval class 5', 0.75)];0[None];4.875[('minor', 2.25), ('interval class 5', 1.5), ('tritone', 1.125)];0[None];0.75[('dim', 0.75)]
honey_dont;4;E;['None'];[('4/4', 1)];243.625;0;18.25;27.875;67.375;34.65625;1.625;146.125;40.125;18.875;2.0;11.125;62.0[('major', 50.875), ('unison', 4.125), ('interval class 5', 3.25), ('interval class 3', 2.75), ('interval class 1', 0.75), ('interval class 2', 0.25)];0[None];0[None];0[None];0.375[('interval class 3', 0.375)];8.0[('7', 6.0), ('major', 1.0), ('interval class 5', 0.75), ('quartal', 0.25)];0.25[('tritone-fourth', 0.25)];9.75[('7', 9.0), ('ninth', 0.75)];17.375[('major', 16.375), ('interval class 4', 0.625), ('interval class 5', 0.375)];0.125[('interval class 3', 0.125)];0[None];0[None]
i_dont_want_to_spoil_the_party;5;G;['None'];[('4/4', 1)];219.75;0;63.625;0.5;147.5;29.125;2.5;130.125;3.75;46.0;7.25;27.125;74.625[('major', 55.0), ('interval class 5', 9.75), ('interval class 4', 9.375), ('unison', 0.5)];0[None];11.875[('interval class 3', 3.125), ('minor-7', 2.25), ('minor 7', 2.0), ('major', 2.0), ('minor', 1.75), ('interval class 5', 0.75)];0.5[('interval class 3', 0.5)];12.75[('interval class 3', 7.25), ('7', 3.0), ('interval class 5', 2), ('interval class 2', 0.5)];6.125[('interval class 5', 2.75), ('major', 2.25), ('interval class 4', 1.125)];0[None];16.875[('major', 14.5), ('interval class 4', 1.25), ('interval class 5', 1.125)];0[None];9.75[('minor', 5.0), ('interval class 3', 4), ('interval class 5', 0.75)];4.0[('major-second major tetrachord', 3.0), ('interval class 5', 1.0)];1.0[('interval class 3', 0.5), ('tritone', 0.5)]
ill_follow_the_sun;4;C;['None'];[('4/4', 1)];65.875;0;51.5;1.625;32.75;37.125;2.0;44.25;10.0;25.25;7.875;11.5;16.25[('major', 6.75), ('interval class 5', 5.375), ('interval class 4', 4.125)];0[None];12.5[('minor', 9.25), ('interval class 5', 1.125), ('major', 1.0), ('interval class 4', 0.75), ('quartal', 0.375)];0[None];6.375[('interval class 3', 4.5), ('interval class 5', 1.625), ('interval class 2', 0.25)];5.375[('interval class 4', 3.875), ('interval class 5', 1.25), ('major', 0.25)];0[None];5.0[('interval class 4', 3.5), ('interval class 5', 1.0), ('major', 0.5)];9.5[('dim', 6.5), ('interval class 3', 2.5), ('tritone', 0.5)];1.375[('interval class 3', 0.5), ('minor-7', 0.5), ('minor', 0.375)];6.5[('7', 5.625), ('interval class 2', 0.875)];0.875[('interval class 3', 0.875)]
im_a_loser;4;G;['None'];[('4/4', 1)];164.125;0.5;109.875;1.25;99.25;58.125;2.0;143.0;0;75.375;35.0;39.375;37.875[('major', 30.0), ('interval class 5', 6.75), ('interval class 4', 0.75), ('interval class 1', 0.375)];0[None];21.25[('minor', 21.0), ('interval class 3', 0.25)];0[None];5.0[('interval class 3', 4.75), ('interval class 5', 0.25)];4.25[('interval class 5', 3.0), ('interval class 4', 1.25)];0[None];37.0[('major', 29.5), ('interval class 3', 4.25), ('interval class 4', 2.0), ('interval class 5', 1.25)];0[None];13.375[('interval class 3', 6.625), ('minor', 6.0), ('interval class 2', 0.75)];16.25[('major-second major tetrachord', 12.0), ('major', 3.0), ('interval class 4', 0.75), ('major 7', 0.5)];1.5[('interval class 3', 1.25), ('interval class 2', 0.25)]
kansas_city_hey_hey_hey_hey;5;G;['None'];[('4/4', 1)];190.5625;2.25;48.875;22.125;93.0;80.125;5.5;143.375;0;70.25;27.125;24.0625;93.5[('major', 56.375), ('interval class 5', 13.125), ('interval class 2', 9.0), ('interval class 4', 7.875), ('7', 6.0), ('minor', 1.0), ('quartal', 0.125)];0[None];22.5[('interval class 3', 22.5)];6.625[('interval class 2', 4.0), ('ninth', 1.75), ('7', 0.875)];9.75[('interval class 3', 9.75)];33.75[('major', 26.25), ('interval class 5', 4.0), ('interval class 4', 3.5)];0[None];28.125[('major', 17.375), ('interval class 3', 6.5), ('interval class 4', 1.625), ('interval class 5', 1.25), ('interval class 2', 1.25), ('half-dim 7', 0.125)];0[None];23.5[('interval class 3', 23.375), ('minor-7', 0.125)];2.25[('major', 2.25)];1.125[('interval class 3', 1.0), ('tritone', 0.125)]
mr_moonlight;5;F#;['None'];[('4/4', 1)];298.875;12.0;41.625;1.25;116.25;96.5;10.25;203.875;0.375;111.875;3.75;4.375;81.5[('major', 53.5), ('interval class 5', 22.25), ('interval class 4', 5.75)];0[None];4.75[('minor', 3.0), ('interval class 3', 1.75)];1.25[('interval class 3', 1.25)];25.875[('interval class 3', 21.875), ('7', 4)];34.25[('major', 30.25), ('interval class 4', 1.5), ('tritone', 1.25), ('interval class 5', 1.25)];9.0[('major', 9.0)];29.5[('interval class 2', 21.5), ('7', 8.0)];0[None];17.0[('minor', 12.0), ('interval class 5', 3.0), ('interval class 3', 2)];3.75[('quartal', 3.75)];1.5[('major', 1.5)]
