song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
drive_my_car;5;D;43.0625;0.0625;13.0;6.25;18.5;39.90625;0.5;31.5625;0.25;33.5;16.125;7.25;5.125[('major', 5.0), ('quartal', 0.125)];0[None];0.5[('major', 0.5)];1.5[('quartal', 1.5)];0.125[('interval class 4', 0.125)];4.0[('major', 3.0), ('7', 1.0)];0[None];1.25[('major', 1.25)];0[None];4.25[('minor', 3.75), ('interval class 5', 0.5)];2.0[('major', 2.0)];2.5[('dim', 2.5)]
girl;6;D#;76.25;0.5;56.75;0;128.75;34.25;0;39.75;16.0;93.5;0;42.75;0[None];0[None];15.5[('minor', 15.5)];0[None];33.0[('major', 17.25), ('major 7', 7.0), ('7', 5.75), ('minor', 3.0)];0[None];0[None];10.0[('minor 7', 10.0)];0[None];24.25[('minor', 19.5), ('major', 4.75)];0[None];0[None]
if_i_needed_someone;4;A;109.4375;7.25;62.5;0.125;63.625;36.875;0;96.5;0;22.25;40.75;5.25;34.0[('major', 34.0)];0[None];11.0[('minor', 6.5), ('minor-7', 1.75), ('7', 1.5), ('quartal', 1.25)];0[None];2.75[('minor', 2.75)];1.0[('major', 1.0)];0[None];5.75[('minor', 4.0), ('7', 1.75)];0[None];6.0[('7', 6.0)];11.375[('major', 11.125), ('quartal', 0.25)];0[None]
im_looking_through_you;4;G;211.625;0;62.625;3.4375;75.625;70.0;0;165.0;0;104.375;1.1875;18.625;31.75[('major', 28.25), ('quartal', 3.5)];0[None];14.5[('minor', 14.5)];0[None];0[None];26.25[('major-second major tetrachord', 26.25)];0[None];13.0[('major', 12.5), ('perfect-fourth major tetrachord', 0.5)];0[None];13.75[('minor 7', 12.0), ('quartal', 1.5), ('minor', 0.25)];0[None];0[None]
in_my_life;8;A;108.6875;0;33.5625;0;77.3125;57.4375;0;77.1875;4.125;77.1875;17.875;15.0;21.75[('major', 21.75)];0[None];1.125[('interval class 5', 1.125)];0[None];0[None];11.375[('major', 9.125), ('minor', 1.875), ('interval class 5', 0.375)];0[None];6.5[('major', 5.875), ('7', 0.625)];0[None];11.25[('minor', 11.25)];4.0[('major', 4.0)];0[None]
michelle;6;F;81.71875;9.90625;96.0;45.5625;17.4375;25.5;20.53125;105.25;10.1875;51.3125;63.5;23.625;6.75[('interval class 4', 5), ('major', 0.75), ('minor', 0.75), ('quartal', 0.25)];0[None];19.5[('major', 8.875), ('interval class 4', 5), ('interval class 5', 4.875), ('half-dim 7', 0.75)];10.5[('interval class 3', 8.75), ('interval class 5', 1.75)];0[None];1.0[('interval class 3', 0.75), ('7', 0.25)];0[None];23.5[('major', 7.125), ('minor', 6.375), ('interval class 4', 6.25), ('interval class 5', 3.75)];2.625[('7', 2.625)];12.375[('interval class 3', 8.25), ('major', 3.125), ('minor 7', 1.0)];12.25[('dim', 5.0), ('dim 7', 4.25), ('interval class 3', 3)];2.625[('interval class 3', 2.25), ('minor', 0.375)]
norwegian_wood;3;D;56.25;1.6875;46.3125;6.0;22.9375;24.625;7.25;47.125;0.25;48.3125;1.25;6.28125;20.75[('major', 9.125), ('minor', 6.0), ('interval class 5', 4.125), ('quartal', 1.5)];0[None];6.625[('major', 2.25), ('minor', 1.875), ('minor-7', 1.25), ('minor 7', 1.25)];0[None];0.75[('minor', 0.75)];7.125[('maj7', 4.125), ('major', 3.0)];0[None];3.0[('major', 1.5), ('7', 1.5)];0[None];1.0[('major', 1.0)];0[None];0[None]
nowhere_man;5;E;63.25;0;41.625;0;61.125;64.0;0.9375;50.6875;8.375;24.75;0;18.0;17.625[('major', 17.625)];0[None];8.125[('minor', 8.125)];0[None];3.0[('minor', 3.0)];10.375[('minor', 5.875), ('major', 4.5)];0[None];2.75[('major', 2.75)];0[None];0[None];0[None];2.25[('dim', 2.25)]
run_for_your_life;6;D;118.625;0;24.0;3.125;116.8125;15.4375;8.5;82.9375;1.03125;72.25;6.21875;6.4375;37.5[('major', 37.5)];0[None];4.0[('major', 4.0)];0.125[('major', 0.125)];1.0[('7', 1.0)];2.875[('major', 2.875)];0[None];1.75[('major', 1.75)];0[None];19.25[('minor', 18.0), ('minor 7', 1.25)];2.25[('major', 2.25)];0[None]
the_word;6;C;28.5625;4.125;57.0625;0;16.5;55.0625;3.5;33.84375;0;61.5625;0;6.25;4.125[('major', 3.0), ('interval class 5', 1.125)];0[None];14.75[('major-second minor tetrachord', 10.625), ('major', 3.0), ('interval class 5', 1.125)];0[None];0[None];3.0[('major', 3.0)];0[None];6.75[('7', 5.625), ('interval class 4', 1.125)];0[None];1.125[('interval class 4', 1.125)];0[None];1.0[('half-dim 7', 1.0)]
think_for_yourself;5;A#;41.5625;29.125;48.1875;0;49.8125;8.375;23.5;48.5625;6.0;99.625;2.0;31.25;8.0[('7', 8.0)];0[None];9.5[('major', 9.5)];0[None];11.5[('major', 5.0), ('minor', 3.5), ('7', 3.0)];0[None];0[None];0[None];3.0[('dim', 3.0)];26.875[('7', 21.75), ('major', 5.125)];0[None];5.875[('minor', 5.875)]
wait;4;A;25.5;0;21.3125;0;25.3125;4.75;4.625;16.0;3.25;34.75;0;6.25;1.75[('major', 1.375), ('interval class 4', 0.375)];0[None];4.125[('major', 2), ('7', 1.75), ('minor-7', 0.375)];0[None];0.25[('7', 0.25)];0[None];0[None];2[('major', 2)];1.25[('major', 1.25)];5.125[('minor', 3.875), ('minor 7', 0.75), ('quartal', 0.5)];0[None];0.25[('dim', 0.25)]
what_goes_on;5;E;76.75;0.125;11.5;7.25;30.625;19.5;1.0625;43.8125;7.5;4.0625;8.75;3.375;2.6875[('major', 2.3125), ('7', 0.375)];0[None];0[None];0[None];0[None];1.875[('minor', 1.875)];0[None];0.5[('7', 0.5)];0[None];0[None];0[None];0[None]
you_wont_see_me;5;A;131.375;0;37.125;2.0;54.25;62.625;27.875;50.625;6.625;29.5;5.0;5.75;10.125[('major', 10.125)];0[None];5.75[('major', 5.0), ('minor', 0.5), ('7', 0.25)];0[None];0[None];8.125[('major', 4.625), ('tritone-fourth', 2.0), ('minor', 1.5)];2.75[('half-dim 7', 1.75), ('tritone', 0.75), ('tritone-fourth', 0.25)];0[None];0[None];0[None];1.0[('major', 1.0)];0.5[('dim', 0.5)]
