song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
all_you_need_is_love;10;G;225.4375;0;111.0625;0.375;184.0625;44.125;13.125;219.75;7.75;97.4375;1.75;78.625;68.75[('major', 62.125), ('major-ninth', 4.0), ('interval class 5', 2.5), ('interval class 4', 0.125)];0[None];8.125[('major', 4.0), ('7', 4.0), ('interval class 3', 0.125)];0.125[('interval class 3', 0.125)];11.625[('interval class 3', 7.625), ('major', 2.0), ('7', 2.0)];3.625[('major 7', 2.0), ('interval class 4', 1.5), ('major', 0.125)];0[None];60.0[('major', 39.0), ('7', 12.5), ('interval class 5', 7.5), ('interval class 2', 1.0)];0[None];21.0[('minor', 19.0), ('minor 7', 2.0)];0[None];0.75[('dim', 0.75)]
baby_youre_a_rich_man;9;G;241.0625;0;38.0;4.0;65.625;99.625;0;58.75;0;62.75;32.25;0;33.5[('major', 27.5), ('7', 6.0)];0[None];0[None];0[None];1.875[('dim', 1.875)];25.75[('major', 25.75)];0[None];1.0[('minor 7', 1.0)];0[None];0[None];7.5[('major', 4.5), ('major-second major tetrachord', 3.0)];0[None]
blue_jay_way;6;G;102.5625;0;32.5625;7.5;54.75;220.375;0;4.25;6.375;93.375;2.3125;21.8125;0[None];0[None];6.875[('minor-7', 5.375), ('minor', 1.5)];0[None];0[None];57.875[('major', 38.25), ('maj7', 14.0), ('interval class 5', 5.375), ('quartal', 0.25)];0[None];0[None];0[None];0.25[('minor', 0.25)];0[None];0[None]
flying;5;C;77.125;0;12.125;4.0;40.4375;31.0625;3.625;37.0;0.5;21.8125;2.625;8.375;10.25[('major', 10.25)];0[None];0[None];0[None];0[None];4.5[('major', 4.5)];0[None];1.5[('major', 1.5)];0[None];0[None];1.5[('dim', 1.5)];0[None]
hello_goodbye;7;C;156.6875;0;50.3125;1.75;102.1875;81.6875;3.0;151.3125;19.125;71.25;4.625;44.9375;47.25[('major', 46.75), ('minor', 0.5)];0[None];7.5[('minor', 3.5), ('minor 7', 3.0), ('major', 1.0)];0[None];0.5[('minor-7', 0.5)];13.0[('major', 7.0), ('minor', 6.0)];0[None];19.0[('7', 15.0), ('major', 4.0)];0[None];12.0[('minor', 12.0)];0[None];2.0[('dim', 2.0)]
i_am_the_walrus;8;A;115.25;0.125;88.15625;70.1875;30.125;86.6875;24.5625;109.0625;36.875;45.3125;64.8125;13.9375;22.0[('major', 20.5), ('minor', 1.5)];0[None];13.5[('major', 13.5)];13.5[('major', 13.5)];0[None];16.125[('major', 16.125)];0[None];10.5[('major', 10.5)];8.75[('major', 5.0), ('aug', 3.75)];0[None];7.25[('major', 5.25), ('quartal', 2)];0[None]
magical_mystery_tour;6;D;63.125;15.4375;220.8125;1.375;49.0625;51.75;58.875;99.625;4.25;139.75;6.25;48.3125;11.0[('major', 9.0), ('quartal', 2.0)];0[None];57.5[('major', 52.75), ('interval class 5', 4.75)];0[None];6.0[('minor 7', 3.0), ('dim', 2.0), ('minor', 1.0)];21.0[('major', 18.0), ('minor', 2.0), ('quartal', 1.0)];0.75[('minor', 0.75)];33.25[('major', 30.25), ('interval class 5', 2.0), ('quartal', 1.0)];0[None];10.0[('major', 10.0)];0[None];2.0[('minor 7', 2.0)]
penny_lane;5;B;102.25;0;64.4375;56.4375;27.4375;53.1875;0;111.0625;9.875;31.1875;47.0625;18.75;39.5[('minor', 18.0), ('major', 17.0), ('quartal', 4.5)];0[None];1.0[('minor', 1.0)];9.0[('major', 9.0)];0[None];7.75[('major', 7.75)];0[None];8.0[('major', 6.5), ('minor', 1.5)];0[None];0[None];12.0[('major', 12.0)];1.25[('dim', 1.25)]
strawberry_fields_forever;7;A#;90.3125;23.25;29.6875;0;61.5;43.875;2.875;66.25;1.0;52.5;22.3125;18.1875;0[None];0[None];8.0[('major', 8.0)];0[None];14.875[('major', 14.875)];0[None];0[None];0.9375[('minor', 0.9375)];0[None];15.0[('major', 14.75), ('minor', 0.25)];0[None];0[None]
the_fool_on_the_hill;6;D;175.625;0.25;72.125;29.375;62.3125;53.3125;0.125;81.875;15.625;71.0;17.0;11.5;17.125[('major', 7.875), ('minor', 6.0), ('minor-7', 3.25)];0[None];21.0[('minor 7', 21.0)];0[None];0[None];0[None];0[None];6.0[('major', 6.0)];0[None];32.875[('minor 7', 30.0), ('minor', 2.125), ('dim', 0.75)];6.0[('major', 6.0)];0[None]
your_mother_should_know;6;G;81.5;11.625;98.375;0;50.125;82.625;19.625;74.75;2.75;111.125;34.5;21.0;17.5[('major', 8.75), ('7', 7.0), ('interval class 4', 1.75)];0[None];31.75[('minor', 14.0), ('major', 13.0), ('7', 3.0), ('minor-7', 1.75)];0[None];5.75[('dim', 4.0), ('major', 1.75)];22.5[('major', 22.5)];0[None];20.5[('major', 10.5), ('7', 6.0), ('minor', 4.0)];0[None];5.0[('major', 5.0)];0[None];0[None]
