song_title; number_of_parts; key; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
across_the_universe;6;D;127.3125;0;70.1875;0;79.625;53.75;0.25;136.1875;3.375;40.375;0;61.4375;32.5[('major', 32.5)];0[None];5.625[('minor 7', 5.0), ('interval class 5', 0.5), ('half-dim 7', 0.125)];0[None];6.5[('minor', 6.5)];16.375[('major', 13.5), ('minor', 2.75), ('major-minor', 0.125)];0[None];32.5[('major', 25.5), ('7', 6.5), ('major-second major tetrachord', 0.5)];0[None];3.5[('minor', 3.0), ('quartal', 0.5)];0[None];0[None]
dig_a_pony;5;A;149.03125;1.5;98.375;4.625;64.5;72.375;0.03125;97.4375;26.75;101.5625;65.625;13.0;26.0[('major', 24.75), ('interval class 5', 1.25)];0[None];11.5[('minor', 11.25), ('interval class 5', 0.25)];0[None];0[None];8.75[('major', 8.75)];0[None];9.0[('major', 7.5), ('7', 1.5)];0[None];8.25[('minor', 8.0), ('interval class 5', 0.25)];16.0[('7', 11.5), ('major', 4.5)];0[None]
dig_it;3;F;79.5;0;25.375;1.75;22.5;71.875;0;63.0;0;41.5;0.625;22.0;24.875[('major', 21.625), ('interval class 5', 3.25)];0[None];0.25[('minor', 0.25)];0[None];0.125[('minor-7', 0.125)];0[None];0[None];21.5[('major', 20.375), ('aug', 1.125)];0[None];35.875[('major', 34.25), ('interval class 4', 1.625)];0[None];0[None]
for_your_blue;6;C;34.875;7.0;115.4375;1.125;15.5;34.625;47.0;78.5625;4.875;52.5;0.75;18.875;0.375[('whole-tone', 0.375)];0[None];17.875[('7', 17.375), ('major', 0.375), ('major pentachord', 0.125)];0[None];0.375[('7', 0.375)];0.375[('minor-7', 0.375)];0.125[('tritone-fourth', 0.125)];10.75[('7', 10.75)];0.125[('interval class 3', 0.125)];6.5[('7', 5.25), ('interval class 5', 0.625), ('major-minor', 0.5), ('interval class 3', 0.125)];0[None];0.75[('7', 0.75)]
get_back;5;A;141.0625;0;12.6875;12.75;19.5;57.125;0.03125;56.4375;0.21875;23.0625;34.25;0.125;19.0[('interval class 5', 11.125), ('7', 7.625), ('major', 0.25)];0[None];0[None];1.5[('interval class 5', 1.5)];5.125[('dim', 5.125)];14.5[('interval class 5', 7.125), ('major', 4.625), ('7', 2.75)];0[None];0[None];0[None];1.25[('dim', 0.875), ('half-dim 7', 0.375)];3.5[('major', 3.5)];0.125[('dim', 0.125)]
i_me_mine;6;G;14.8125;9.5625;46.59375;0;13.46875;30.03125;0.9375;24.625;0;49.15625;18.625;8.4375;1.875[('major', 1.875)];2.625[('dim', 1.875), ('dim 7', 0.75)];9.75[('minor', 7.875), ('unison', 0.375), ('interval class 1', 0.375), ('interval class 2', 0.375), ('minor-aug tetrachord', 0.375), ('minor 7', 0.375)];0[None];0[None];3.0[('aug', 1.5), ('major', 1.5)];0[None];6.0[('minor', 3.0), ('major', 1.5), ('7', 1.5)];0[None];2.25[('major', 2.25)];7.125[('major 7', 5.25), ('maj7', 1.125), ('interval class 4', 0.75)];2.25[('half-dim 7', 1.5), ('interval class 3', 0.375), ('dim-aug ninth', 0.375)]
ive_got_a_feeling;5;A;136.0;3.125;19.75;9.0;39.1875;37.75;6.25;56.5;7.34375;33.125;32.4375;5.71875;16.25[('major', 8.25), ('7', 8.0)];3.0[('perfect-fourth dim tetrachord', 3.0)];2.0[('dim', 1.5), ('half-dim 7', 0.375), ('tritone-fourth', 0.125)];0[None];8.875[('dim', 8.875)];19.0625[('major', 15.25), ('minor-dim tetrachord', 2.25), ('7', 1.5625)];4.5[('dim', 4.125), ('dim 7', 0.375)];3.0625[('major', 2.3125), ('minor', 0.75)];0.375[('major-minor', 0.375)];0.375[('dim', 0.375)];3.5[('major', 1.8125), ('7', 1.6875)];0[None]
maggie_mae;3;G;55.125;0;8.25;0;32.25;20.25;0;35.625;0;18.125;0.5;6.75;12.75[('major', 12.75)];0[None];0[None];0[None];0[None];6.0[('major', 6.0)];0[None];4.75[('major', 4.75)];0[None];0[None];0[None];0[None]
one_after_909;5;D;73.15625;82.65625;79.6875;13.90625;164.75;1.90625;45.875;71.84375;17.625;222.96875;1.65625;70.875;0[None];4.375[('dim', 3.875), ('tritone', 0.5)];21.5[('7', 18.25), ('major', 2.375), ('minor', 0.875)];0[None];14.375[('7', 13.5), ('interval class 5', 0.375), ('minor-7', 0.25), ('interval class 3', 0.25)];0[None];11.125[('dim', 8.875), ('7', 1.5), ('Neapolitan pentachord', 0.5), ('half-dim 7', 0.25)];0[None];0[None];66.0[('7', 59.375), ('major', 5.75), ('interval class 5', 0.75), ('quartal', 0.125)];0[None];0.875[('7', 0.5), ('tritone-fourth', 0.25), ('all-interval tetrachord', 0.125)]
the_long_and_winding_road;5;D#;128.625;0;35.75;0;75.1875;77.0625;0;96.75;0;116.3125;7.75;30.9375;1.5[('minor 7', 1.5)];0[None];4.25[('minor 7', 2.5), ('minor', 1.75)];0[None];16.625[('major', 15.625), ('minor', 1.0)];0.25[('minor-7', 0.25)];0[None];0.25[('minor 7', 0.25)];0[None];21.25[('major', 19.25), ('minor', 2.0)];0[None];7.75[('minor 7', 4.0), ('7', 2.25), ('major', 1.0), ('minor-7', 0.5)]
