song_title; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
across_the_universe;127.3125;0;70.1875;0;79.625;53.75;0.25;136.1875;3.375;40.375;0;61.4375;34.625[('major', 32.5), ('interval class 4', 2.125)];0[None];5.625[('minor 7', 5.0), ('interval class 5', 0.5), ('half-dim 7', 0.125)];0[None];7.625[('minor', 6.5), ('unison', 1), ('interval class 3', 0.125)];16.375[('major', 13.5), ('minor', 2.75), ('major-minor', 0.125)];0[None];33.0[('major', 25.5), ('7', 6.5), ('major-second major tetrachord', 0.5), ('interval class 4', 0.25), ('unison', 0.125), ('interval class 5', 0.125)];0[None];3.75[('minor', 3.0), ('quartal', 0.5), ('interval class 2', 0.125), ('interval class 3', 0.125)];0[None];0.125[('interval class 3', 0.125)]
dig_a_pony;149.03125;1.5;98.375;4.625;64.5;72.375;0.03125;97.4375;26.75;101.5625;65.625;13.0;32.375[('major', 24.75), ('interval class 5', 3.875), ('interval class 4', 2.5), ('interval class 3', 1.25)];0[None];15.5[('minor', 11.25), ('interval class 3', 4.0), ('interval class 5', 0.25)];0[None];0.6875[('interval class 3', 0.6875)];9.25[('major', 8.75), ('interval class 4', 0.5)];0[None];10.125[('major', 7.5), ('7', 1.5), ('interval class 4', 1.125)];0[None];9.5625[('minor', 8.0), ('interval class 3', 1.3125), ('interval class 5', 0.25)];19.375[('7', 11.5), ('major', 4.5), ('interval class 4', 3.125), ('interval class 2', 0.25)];1.625[('interval class 3', 1.625)]
dig_it;79.5;0;25.375;1.75;22.5;71.875;0;63.0;0;41.5;0.625;22.0;29.375[('major', 21.625), ('interval class 5', 7.75)];0[None];0.25[('minor', 0.25)];0[None];0.875[('interval class 3', 0.75), ('minor-7', 0.125)];0.125[('interval class 3', 0.125)];0[None];22.625[('major', 20.375), ('aug', 1.125), ('interval class 5', 1.0), ('interval class 4', 0.125)];0[None];36.375[('major', 34.25), ('interval class 4', 2.125)];0[None];0[None]
for_your_blue;115.4375;1.125;15.5;34.625;47.0;78.5625;4.875;52.5;0.75;18.875;34.875;7.0;47.875[('7', 17.375), ('interval class 3', 12.75), ('interval class 5', 12.625), ('unison', 2.625), ('interval class 4', 1.75), ('major', 0.375), ('interval class 2', 0.25), ('major pentachord', 0.125)];0.25[('interval class 3', 0.25)];6.5[('interval class 3', 5.25), ('interval class 5', 0.875), ('7', 0.375)];1.375[('interval class 4', 1.0), ('minor-7', 0.375)];18.75[('tritone', 12.5), ('interval class 1', 4.875), ('unison', 1.25), ('tritone-fourth', 0.125)];24.25[('interval class 5', 10.875), ('7', 10.75), ('unison', 1.25), ('interval class 4', 1.25), ('interval class 1', 0.125)];1.375[('unison', 1.25), ('interval class 3', 0.125)];14.375[('interval class 5', 5.625), ('7', 5.25), ('unison', 1.75), ('interval class 3', 0.625), ('interval class 4', 0.625), ('major-minor', 0.5)];0[None];1.25[('7', 0.75), ('interval class 3', 0.5)];1.0[('interval class 4', 0.625), ('whole-tone', 0.375)];0[None]
get_back;141.0625;0;12.6875;12.75;19.5;57.125;0.03125;56.4375;0.21875;23.0625;34.25;0.125;42.0[('interval class 5', 33.0), ('7', 7.625), ('unison', 0.75), ('interval class 3', 0.375), ('major', 0.25)];0[None];2.0[('interval class 3', 1.25), ('interval class 5', 0.625), ('interval class 2', 0.125)];2.25[('interval class 5', 2.125), ('interval class 4', 0.125)];9.375[('dim', 5.125), ('tritone', 4.25)];20.0[('interval class 5', 12.625), ('major', 4.625), ('7', 2.75)];0[None];0.25[('interval class 5', 0.25)];0[None];5.1875[('interval class 3', 3.0), ('tritone', 0.875), ('dim', 0.875), ('half-dim 7', 0.375), ('interval class 2', 0.0625)];3.75[('major', 3.5), ('interval class 5', 0.25)];0.125[('dim', 0.125)]
i_me_mine;46.59375;0;13.46875;30.03125;0.9375;24.625;0;49.15625;18.625;8.4375;14.8125;9.5625;11.3125[('minor', 7.875), ('interval class 5', 1.3125), ('interval class 2', 0.625), ('unison', 0.375), ('interval class 1', 0.375), ('minor-aug tetrachord', 0.375), ('minor 7', 0.375)];0[None];0.25[('interval class 3', 0.25)];4.5[('interval class 4', 1.5), ('aug', 1.5), ('major', 1.5)];0.375[('interval class 3', 0.375)];6.25[('minor', 3.0), ('major', 1.5), ('7', 1.5), ('interval class 5', 0.25)];0[None];6.0[('interval class 3', 3.3125), ('major', 2.25), ('interval class 5', 0.4375)];8.0625[('major 7', 5.25), ('maj7', 1.125), ('interval class 4', 0.9375), ('interval class 5', 0.75)];3.8125[('interval class 3', 1.9375), ('half-dim 7', 1.5), ('dim-aug ninth', 0.375)];3.125[('major', 1.875), ('interval class 5', 1.25)];2.625[('dim', 1.875), ('dim 7', 0.75)]
ive_got_a_feeling;136.0;3.125;19.75;9.0;39.1875;37.75;6.25;56.5;7.34375;33.125;32.4375;5.71875;30.0[('major', 8.25), ('7', 8.0), ('interval class 5', 6.75), ('interval class 4', 4.875), ('unison', 1.875), ('interval class 3', 0.25)];3.0[('perfect-fourth dim tetrachord', 3.0)];2.125[('dim', 1.5), ('half-dim 7', 0.375), ('interval class 2', 0.125), ('tritone-fourth', 0.125)];0.5[('interval class 4', 0.5)];14.5[('dim', 8.875), ('interval class 3', 5.625)];25.3125[('major', 15.25), ('interval class 5', 4.625), ('minor-dim tetrachord', 2.25), ('7', 1.5625), ('interval class 3', 1.125), ('interval class 4', 0.5)];6.0[('dim', 4.125), ('interval class 3', 1.5), ('dim 7', 0.375)];4.8125[('major', 2.3125), ('interval class 3', 1.625), ('minor', 0.75), ('interval class 5', 0.125)];0.375[('major-minor', 0.375)];0.375[('dim', 0.375)];3.5[('major', 1.8125), ('7', 1.6875)];0[None]
let_it_be;149.03125;0;39.875;0;91.4375;49.125;0.1875;115.8125;0;53.71875;1.0625;22.125;56.59375[('major', 52.0), ('interval class 5', 3.09375), ('interval class 4', 1.5)];0[None];5.9375[('minor-7', 2.125), ('7', 2.0), ('interval class 3', 1.0625), ('interval class 4', 0.375), ('interval class 2', 0.25), ('interval class 5', 0.125)];0[None];1.125[('interval class 3', 1.125)];19.125[('major', 13.25), ('interval class 4', 3.0), ('maj7', 2.0), ('quartal', 0.5), ('interval class 5', 0.3125), ('interval class 1', 0.0625)];0[None];20.625[('major', 19.25), ('interval class 4', 1.25), ('interval class 2', 0.125)];0[None];17.1875[('minor', 16.125), ('interval class 3', 1.0625)];0.1875[('interval class 2', 0.1875)];0[None]
maggie_mae;55.125;0;8.25;0;32.25;20.25;0;35.625;0;18.125;0.5;6.75;15.25[('major', 12.75), ('interval class 5', 1.75), ('unison', 0.5), ('interval class 4', 0.25)];0[None];0.375[('interval class 3', 0.375)];0[None];3.75[('interval class 3', 3.75)];7.125[('major', 6.0), ('interval class 4', 1.125)];0[None];5.875[('major', 4.75), ('interval class 4', 0.5), ('interval class 3', 0.5), ('interval class 5', 0.125)];0[None];0.875[('interval class 2', 0.375), ('interval class 5', 0.25), ('unison', 0.25)];0[None];0.875[('interval class 3', 0.625), ('tritone', 0.25)]
one_after_909;222.96875;1.65625;70.875;73.15625;82.65625;79.6875;13.90625;164.75;1.90625;45.875;71.84375;17.625;108.25[('7', 59.375), ('unison', 23.375), ('interval class 4', 10.625), ('major', 5.75), ('interval class 3', 5.125), ('interval class 5', 3.625), ('interval class 2', 0.25), ('quartal', 0.125)];0[None];17.375[('interval class 3', 10.5), ('unison', 5.5), ('interval class 5', 0.5), ('7', 0.5), ('tritone-fourth', 0.25), ('all-interval tetrachord', 0.125)];20.625[('interval class 4', 14.375), ('unison', 5.0), ('interval class 5', 1.25)];7.25[('dim', 3.875), ('interval class 3', 2.125), ('tritone', 1.125), ('unison', 0.125)];25.875[('7', 18.25), ('major', 2.375), ('interval class 5', 2.125), ('interval class 4', 1.25), ('minor', 0.875), ('interval class 2', 0.5), ('interval class 3', 0.5)];3.625[('interval class 4', 3.625)];22.25[('7', 13.5), ('unison', 4.375), ('interval class 2', 3.0), ('interval class 1', 0.5), ('interval class 5', 0.375), ('minor-7', 0.25), ('interval class 3', 0.25)];0.125[('interval class 1', 0.125)];12.0[('dim', 8.875), ('7', 1.5), ('Neapolitan pentachord', 0.5), ('unison', 0.5), ('half-dim 7', 0.25), ('interval class 3', 0.25), ('interval class 2', 0.125)];1.625[('interval class 4', 1.0), ('unison', 0.375), ('interval class 1', 0.25)];0.125[('unison', 0.125)]
