song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
a_taste_of_honey;3;A;['None'];[('4/4', 1), ('3/4', 1)];32.75;0;27.125;0;39.125;0.75;7.125;30.875;0.75;69.5;0.25;6.375;4.75[('major', 4.125), ('interval class 4', 0.625)];0[None];5.25[('major', 5.0), ('interval class 3', 0.25)];0[None];0[None];0[None];0[None];4.875[('major', 4.5), ('interval class 4', 0.375)];0[None];15.0[('minor', 14.75), ('interval class 3', 0.25)];0[None];0.25[('interval class 3', 0.25)]
anna_go_to_him;7;D;['None'];[('4/4', 1)];191.75;0.03125;33.65625;0;84.03125;70.625;13.03125;57.6875;8.875;79.46875;5.0;22.03125;42.125[('major', 21.0625), ('interval class 4', 13.3125), ('interval class 1', 2.375), ('7', 2.03125), ('interval class 5', 1.15625), ('maj7', 0.75), ('major-minor', 0.5), ('whole-tone', 0.375), ('perfect-fourth major tetrachord', 0.25), ('unison', 0.1875), ('major 7', 0.125)];0.03125[('interval class 1', 0.03125)];6.21875[('interval class 2', 2.21875), ('minor', 1.25), ('interval class 3', 1.0), ('7', 1.0), ('minor-7', 0.5), ('interval class 5', 0.25)];0[None];3.9375[('interval class 3', 1.65625), ('interval class 2', 1.53125), ('unison', 0.25), ('interval class 5', 0.25), ('tritone', 0.25)];32.75[('major', 20.6875), ('interval class 5', 9.4375), ('interval class 4', 2.0), ('maj7', 0.375), ('major 7', 0.25)];7.09375[('dim', 6.375), ('interval class 3', 0.5), ('interval class 2', 0.21875)];1.0[('interval class 4', 0.75), ('interval class 3', 0.25)];0[None];15.5[('minor', 15.125), ('minor-7', 0.25), ('major-second minor tetrachord', 0.125)];1.0[('quartal', 1.0)];9.375[('dim', 6.4375), ('interval class 3', 1.0), ('maj7', 1.0), ('unison', 0.46875), ('interval class 1', 0.46875)]
ask_me_why;3;E;['None'];[('4/4', 1)];113.625;0;57.9375;0.375;113.4375;54.75;4.0;72.75;18.25;72.5;0.75;50.8125;19.875[('major', 19.875)];0[None];18.0[('minor', 14.0), ('major', 4.0)];0[None];22.0625[('minor', 20.0), ('interval class 5', 1.0625), ('minor 7', 1)];20.5[('major', 14.5), ('minor', 6.0)];0[None];5.0[('major', 5.0)];4.5[('aug', 4.5)];12.0[('minor', 12.0)];0[None];5.25[('7', 5.25)]
baby_its_you;5;G;['None'];[('4/4', 1)];143.1875;0;45.6875;0;105.375;52.0625;0;55.5625;0;130.625;0;11.625;24.5[('major', 23.25), ('interval class 4', 1.25)];0[None];6.0[('minor', 6.0)];0[None];0[None];21.75[('major', 12.75), ('interval class 4', 6), ('interval class 5', 3)];0[None];14.0[('interval class 5', 8.625), ('major', 5.375)];0[None];24.125[('minor', 18.125), ('interval class 5', 6)];0[None];3.375[('tritone', 3.375)]
boys;5;E;['None'];[('4/4', 1)];131.1875;0;23.4375;11.1875;31.1875;48.8125;1.5;67.125;1.625;20.125;29.03125;3.3125;19.0625[('major', 10.375), ('7', 6), ('minor', 1.125), ('interval class 3', 1.0625), ('interval class 4', 0.25), ('interval class 5', 0.25)];0[None];0[None];0[None];0.25[('interval class 3', 0.25)];11.375[('major', 9.125), ('minor', 1.125), ('quartal', 1.0), ('interval class 4', 0.125)];0[None];3.75[('major', 2.25), ('interval class 3', 0.625), ('interval class 2', 0.5), ('minor', 0.375)];0.5[('interval class 5', 0.5)];1.0[('interval class 5', 0.75), ('tritone', 0.25)];3.125[('major', 3.125)];0.1875[('interval class 3', 0.1875)]
chains;6;A#;['None'];[('4/4', 1)];380.125;0;50.75;40.0;147.75;89.125;0;317.3125;2.0;78.4375;10.75;24.75;2.0[('7', 2.0)];0[None];10.0[('minor', 10.0)];0[None];134.0[('major', 120.75), ('7', 5.0), ('minor', 4.0), ('interval class 4', 2.0), ('unison', 1.0), ('interval class 3', 1.0), ('minor 7', 0.25)];54.5[('ninth', 40.0), ('perfect-fourth minor tetrachord', 6.0), ('minor-7', 3.75), ('interval class 5', 2.25), ('minor', 2.0), ('major-second major tetrachord', 0.5)];0[None];11.5[('major', 11.5)];0[None];13.5[('major', 7.0), ('minor', 4.0), ('7', 2.0), ('maj7', 0.5)];3.0[('dim', 3.0)];0[None]
do_you_want_to_know_a_secret;5;E;['None'];[('4/4', 1)];36.5625;1.5;54.0;15.0;21.1875;43.4375;4.625;56.125;8.625;48.6875;10.3125;23.8125;6.0[('major', 4.5), ('minor', 1.5)];0.5[('major', 0.5)];9.375[('minor', 9.375)];2.875[('minor', 1.875), ('major', 1)];1.875[('minor', 1.875)];4.375[('major', 3.875), ('minor', 0.5)];0[None];10.625[('7', 9.25), ('minor', 0.875), ('major', 0.5)];1.5[('major', 1.5)];1.875[('interval class 5', 1.125), ('minor', 0.75)];0[None];0.75[('half-dim 7', 0.75)]
i_saw_her_standing_there;4;E;['None'];[('4/4', 1)];145.6875;0;23.28125;17.75;44.875;60.28125;0.15625;55.9375;6.4375;11.5625;41.0625;8.25;27.0[('7', 21.0), ('interval class 5', 5.5), ('interval class 4', 0.25), ('major', 0.25)];0[None];5.375[('interval class 3', 5.375)];1.25[('maj7', 1.25)];12.0[('dim', 9.625), ('interval class 3', 1.5), ('tritone', 0.5), ('tritone-fourth', 0.375)];18.75[('interval class 5', 10.25), ('7', 3.625), ('interval class 2', 3.5), ('interval class 4', 0.75), ('major', 0.5), ('major-second major tetrachord', 0.125)];0[None];14.75[('interval class 5', 8.0), ('7', 5.75), ('interval class 3', 0.5), ('interval class 2', 0.5)];2.625[('interval class 4', 1.125), ('interval class 5', 1.0), ('major', 0.5)];2.375[('interval class 3', 1.75), ('interval class 5', 0.375), ('tritone', 0.25)];1.625[('interval class 5', 1.375), ('interval class 4', 0.25)];0.25[('tritone', 0.25)]
love_me_do;2;G;['None'];[('4/4', 1)];256.625;0;21.0;0;88.625;97.375;0;77.625;0;54.25;13.5;11.5;44.0[('major', 44.0)];0[None];0[None];0[None];0.375[('interval class 3', 0.375)];42.5[('major', 42.5)];0[None];8.0[('major', 8.0)];0[None];0[None];0[None];0[None]
misery;6;C;['None'];[('4/4', 1)];74.5625;0.5;15.75;0;60.375;32.75;0.125;48.25;0;41.4375;0;13.5;20.875[('major', 12.0), ('interval class 5', 8.25), ('major 7', 0.625)];0[None];1.5[('interval class 3', 1.5)];0[None];0.75[('interval class 3', 0.5), ('interval class 5', 0.125), ('minor', 0.125)];10.5[('major', 6.0), ('interval class 5', 4.5)];0[None];7.0[('interval class 5', 2.5), ('major', 2.5), ('7', 2.0)];0[None];15.625[('minor', 7.0), ('interval class 5', 5.375), ('interval class 3', 2.75), ('major', 0.5)];0[None];0[None]
