song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
a_day_in_the_life;8;G;['None'];[('4/4', 3), ('2/4', 3)];107.4375;10.8125;37.625;6.0;125.9375;82.9375;10.4375;48.1875;6.75;248.625;16.75;39.5625;11.25[('major', 8.5), ('interval class 1', 2.5), ('unison', 0.25)];2.0[('interval class 1', 1.5), ('interval class 2', 0.5)];7.625[('minor', 3.5), ('major', 2), ('interval class 1', 1.0), ('unison', 1), ('interval class 3', 0.125)];1.0[('interval class 1', 1.0)];9.25[('minor', 7.5), ('interval class 1', 1.0), ('unison', 0.75)];24.9375[('major', 20.75), ('interval class 1', 2.0625), ('major 7', 2.0), ('unison', 0.125)];0[None];6.625[('interval class 1', 3.5), ('major', 2), ('unison', 1.125)];0.5[('interval class 3', 0.5)];63.0625[('minor', 27.0), ('unison', 25.875), ('interval class 5', 7.5), ('major', 2.1875), ('minor 7', 0.5)];5.125[('major', 4.5), ('interval class 1', 0.5), ('unison', 0.125)];5.5625[('unison', 2.75), ('7', 1.8125), ('interval class 2', 1.0)]
being_for_the_benefit_of_mr_kite;6;D#;['None'];[('4/4', 1)];10.75;44.78125;30.34375;8.5625;52.28125;0.125;66.0625;24.6875;46.4375;31.3125;18.75;67.15625;0[None];14.0[('minor', 14.0)];0[None];0[None];7.625[('major', 6.375), ('minor', 1.25)];0[None];13.125[('major', 11.25), ('interval class 4', 1.875)];0[None];5.375[('major', 5.375)];4.0[('minor', 3.0), ('major', 1.0)];0[None];26.875[('minor', 17.75), ('major', 4.75), ('interval class 3', 2.0), ('interval class 4', 1.625), ('interval class 5', 0.75)]
fixing_a_hole;5;F;['None'];[('4/4', 1)];118.5;0;37.875;77.75;14.875;31.59375;8.0;144.0625;0;47.0;37.625;24.25;15.375[('major', 13.375), ('interval class 5', 2.0)];0[None];6.0[('major', 6.0)];3.5[('interval class 3', 1.875), ('interval class 5', 1.625)];0[None];0[None];0[None];46.625[('major', 40.0), ('aug', 3.5), ('interval class 4', 3.125)];0[None];34.375[('half-dim 7', 20.5), ('interval class 3', 6.875), ('interval class 4', 4.0), ('7', 3)];7.0[('interval class 3', 7.0)];0[None]
getting_better;6;C;['None'];[('4/4', 1)];129.0;0.125;65.625;0.375;100.625;87.375;0.375;328.53125;0;79.125;0.125;53.5;39.75[('major', 33.375), ('interval class 5', 3.25), ('interval class 4', 3.125)];0[None];22.0[('minor', 21.0), ('interval class 3', 1.0)];0[None];37.0[('minor', 20.125), ('interval class 3', 16.0), ('interval class 5', 0.875)];38.375[('major', 34.375), ('interval class 4', 3.625), ('interval class 5', 0.375)];0[None];113.125[('unison', 88.0), ('interval class 5', 11.875), ('major', 9.0), ('interval class 4', 4.25)];0[None];5.375[('interval class 3', 2.5), ('minor-7', 2.0), ('interval class 5', 0.875)];0.125[('interval class 3', 0.125)];4.5[('interval class 3', 4.125), ('major', 0.375)]
good_morning_good_morning;6;A;['None'];[('4/4', 11), ('5/4', 8), ('3/4', 8)];187.625;0;53.0;0;69.5;130.5;0;128.125;0.0625;43.125;86.4375;4.125;42.875[('major', 26.25), ('unison', 9.25), ('interval class 4', 4.75), ('interval class 5', 2.625)];0[None];5.0[('interval class 3', 3.0), ('interval class 5', 1.0), ('interval class 2', 0.5), ('unison', 0.5)];0[None];16.75[('interval class 3', 10.5), ('unison', 4.5), ('tritone', 1.75)];31.0[('major', 13.875), ('interval class 4', 10.125), ('unison', 6.0), ('interval class 5', 1.0)];0[None];16.125[('minor', 4.875), ('unison', 4.5), ('major', 3.0), ('interval class 3', 2.0), ('interval class 5', 1.75)];0[None];3.75[('unison', 3.0), ('interval class 5', 0.5), ('interval class 3', 0.25)];26.75[('major', 18.75), ('interval class 5', 6.0), ('interval class 4', 2.0)];0.375[('unison', 0.375)]
lovely_rita;5;D#;['None'];[('4/4', 1)];101.734375;0.765625;66.8125;7.765625;25.515625;88.609375;3.984375;124.640625;3.765625;33.953125;18.796875;40.40625;10.5625[('interval class 5', 8.0), ('interval class 3', 2.0), ('interval class 2', 0.375), ('7', 0.125), ('half-dim 7', 0.0625)];0.125[('interval class 4', 0.125)];7.625[('major', 5.125), ('minor', 1.25), ('interval class 4', 1.125), ('interval class 5', 0.125)];2.125[('major', 2.0), ('interval class 4', 0.125)];14.6875[('major', 12.5625), ('interval class 4', 1.125), ('minor', 1.0)];11.4375[('interval class 5', 11.0), ('interval class 3', 0.4375)];0.25[('interval class 3', 0.25)];4.9375[('interval class 3', 3.9375), ('major-second major tetrachord', 1.0)];3.0[('interval class 4', 3.0)];19.125[('major', 14.8125), ('minor', 3.375), ('interval class 4', 0.875), ('half-dim 7', 0.0625)];0.75[('interval class 3', 0.5625), ('interval class 5', 0.1875)];35.625[('major', 32.1875), ('interval class 4', 2.5), ('interval class 3', 0.8125), ('interval class 5', 0.125)]
lucy_in_the_sky_with_diamonds;5;G;['D', 'F'];[('4/4', 3), ('3/4', 2)];83.75;0;108.875;16.0;43.375;56.25;19.625;149.875;0;68.125;35.5;58.5;22.25[('major', 13.5), ('interval class 4', 8.75)];0[None];13.25[('major', 6.0), ('interval class 3', 4.25), ('interval class 5', 2.5), ('quartal', 0.5)];0[None];0.875[('interval class 3', 0.875)];17.375[('major', 16.5), ('interval class 4', 0.875)];0[None];40.75[('major', 38.0), ('interval class 4', 1.75), ('interval class 5', 1)];0[None];1.75[('interval class 3', 1.75)];5.25[('major', 3.0), ('interval class 4', 2.25)];8.25[('interval class 3', 7.5), ('interval class 5', 0.75)]
sgt_peppers_lonely_hearts_club_band_reprise;4;F;['None'];[('4/4', 1)];24.03125;1.0;24.1875;3.0;9.0;10.40625;3.0625;18.5625;0.625;17.0;14.3125;7.5;2.75[('major', 2.375), ('interval class 1', 0.25), ('interval class 4', 0.125)];0[None];3.9375[('major', 2.75), ('interval class 4', 1.1875)];0.375[('interval class 5', 0.375)];0.5[('major', 0.5)];0[None];0.0625[('interval class 4', 0.0625)];1.875[('major', 1.875)];0[None];2.125[('major', 1.875), ('interval class 2', 0.25)];1.5[('tritone', 0.75), ('interval class 5', 0.5), ('interval class 2', 0.1875), ('interval class 3', 0.0625)];0[None]
sgt_peppers_lonely_hearts_club_band;5;G;['None'];[('4/4', 1)];76.875;0;54.3125;12.8125;10.5;54.4375;15.5;33.625;0.125;35.125;10.3125;0.625;18.5625[('interval class 5', 14.375), ('major', 3.5), ('7', 0.4375), ('quartal', 0.25)];0[None];19.625[('center-cluster pentachord', 6.75), ('7', 5.25), ('major', 2.75), ('interval class 5', 2.75), ('interval class 4', 1.5), ('interval class 3', 0.375), ('unison', 0.25)];9.125[('7', 8.75), ('tritone', 0.25), ('interval class 3', 0.125)];0[None];10.375[('interval class 5', 6.875), ('major', 2.25), ('interval class 4', 1.0), ('unison', 0.25)];0.25[('interval class 3', 0.25)];5.125[('interval class 5', 1.75), ('interval class 2', 1.0), ('7', 0.75), ('quartal', 0.75), ('major-second minor tetrachord', 0.5), ('perfect-fourth minor tetrachord', 0.25), ('major', 0.125)];0.125[('7', 0.125)];1.75[('quartal', 1.25), ('interval class 3', 0.25), ('interval class 5', 0.25)];4.25[('interval class 5', 2.125), ('major', 1.125), ('interval class 4', 0.875), ('minor-7', 0.125)];0[None]
shes_leaving_home;5;E;['None'];[('3/4', 1)];177.375;0;116.375;0;127.875;68.0;19.25;129.25;0.34375;99.0;13.25;32.875;70.625[('interval class 4', 34.25), ('major', 15.0), ('interval class 5', 11.5), ('unison', 5.125), ('quartal', 4.5), ('7', 0.25)];0[None];35.375[('7', 11.75), ('minor-7', 9.0), ('minor 7', 4.5), ('interval class 4', 3.5), ('interval class 5', 3.125), ('unison', 2.25), ('interval class 3', 0.75), ('interval class 2', 0.25), ('perfect-fourth minor tetrachord', 0.25)];0[None];12.25[('interval class 3', 5.875), ('unison', 2.875), ('dim', 2.25), ('interval class 2', 0.75), ('half-dim 7', 0.25), ('minor-7', 0.25)];12.75[('interval class 4', 4.75), ('major', 3.25), ('interval class 5', 2.5), ('unison', 1.5), ('whole-tone', 0.75)];2.75[('dim', 1.75), ('interval class 3', 0.5), ('unison', 0.5)];32.75[('unison', 14.5), ('interval class 2', 10.5), ('interval class 5', 2.75), ('minor', 2.25), ('interval class 3', 1.75), ('major', 0.75), ('interval class 4', 0.25)];0[None];29.0[('interval class 3', 10.0), ('minor', 8.25), ('unison', 4.5), ('interval class 2', 4.5), ('interval class 5', 1.75)];2.75[('interval class 4', 2.75)];28.25[('dim', 14.5), ('interval class 3', 12.0), ('tritone', 0.75), ('unison', 0.75), ('minor', 0.25)]
when_im_sixty_four;6;C;['None'];[('4/4', 1)];95.0;3.625;49.5;2.75;65.5;33.625;3.125;81.75;9.125;73.375;4.375;36.5;9.75[('interval class 4', 8.625), ('major', 0.75), ('interval class 5', 0.375)];0[None];2[('interval class 3', 2)];0[None];3.5[('interval class 4', 3.5)];3.5[('interval class 4', 3.5)];0.5[('tritone', 0.5)];14.25[('interval class 4', 5.75), ('major', 4.5), ('interval class 5', 4.0)];4.0[('interval class 3', 4.0)];11.5[('interval class 3', 10.875), ('interval class 4', 0.625)];0[None];6.0[('interval class 3', 3.5), ('dim', 2.0), ('tritone', 0.5)]
with_a_little_help_from_my_friends;4;E;['None'];[('4/4', 1)];115.0;0;83.875;5.25;79.75;86.0;4.0;80.25;8.0;54.25;22.5;21.125;46.25[('major', 44.125), ('interval class 4', 2.125)];0[None];20.375[('minor 7', 9.0), ('minor', 6.75), ('major', 4.0), ('interval class 3', 0.625)];0[None];0.875[('interval class 3', 0.875)];25.875[('major', 23.375), ('minor 7', 1.5), ('interval class 4', 1.0)];0[None];16.0[('major', 12.125), ('7', 3.0), ('interval class 4', 0.875)];3.0[('major', 3.0)];4.75[('minor', 4.0), ('interval class 3', 0.75)];17.625[('major', 16.125), ('quartal', 1.5)];3.5[('dim', 3.0), ('interval class 3', 0.5)]
within_you_without_you;6;C;['None'];[('4/4', 9), ('5/4', 6), ('2/4', 2), ('3/4', 1)];195.9375;0;13.5;7.5;56.96875;62.0;0;86.75;0;28.0;38.1875;0.25;5.0[('unison', 2.25), ('interval class 5', 1.5), ('interval class 4', 1.25)];0[None];2.625[('interval class 2', 2), ('unison', 0.625)];1.5[('unison', 1.25), ('interval class 3', 0.25)];7.0[('unison', 7.0)];12.125[('unison', 7.625), ('interval class 5', 4.5)];0[None];20.875[('unison', 20.625), ('interval class 2', 0.25)];0[None];4.25[('unison', 3.25), ('interval class 3', 1.0)];3.375[('unison', 2.375), ('interval class 2', 1.0)];0[None]
