song_title; number_of_parts; key; key_change_info; metrics; i; i#; ii; ii#; iii; iv; iv#; v; v#; vi; vi#; vii; chord_i; chord_i#; chord_ii; chord_ii#; chord_iii; chord_iv; chord_iv#; chord_v; chord_v#; chord_vi; chord_vi#; chord_vii
because;6;E;['None'];[('4/4', 1)];29.84375;7.78125;29.0;11.4375;41.09375;39.875;2.28125;7.375;5.875;55.71875;22.625;14.375;0[None];0.5[('unison', 0.5)];1[('unison', 1)];0[None];0.25[('interval class 5', 0.25)];0[None];0[None];0[None];0[None];0[None];0[None];0.75[('tritone', 0.75)]
carry_that_weight;6;C;['None'];[('2/4', 1)];62.8125;3.125;39.25;0.25;42.375;21.8125;0.40625;86.46875;1.8125;43.6875;0;33.5;19.5[('major', 15.5), ('interval class 4', 2.5), ('interval class 5', 0.75), ('major 7', 0.5), ('unison', 0.25)];0[None];3.375[('interval class 3', 1.5), ('minor', 0.625), ('7', 0.625), ('minor-7', 0.625)];0[None];3.5625[('interval class 3', 2.0), ('major', 1.25), ('7', 0.1875), ('unison', 0.125)];5.6875[('major', 3.25), ('major 7', 1.9375), ('interval class 4', 0.25), ('unison', 0.25)];0[None];19.625[('major', 18.125), ('7', 0.75), ('quartal', 0.375), ('unison', 0.375)];0.125[('interval class 3', 0.125)];12.25[('minor', 5.0), ('minor 7', 2.625), ('interval class 4', 1.5), ('7', 1), ('major', 0.875), ('interval class 3', 0.625), ('unison', 0.625)];0[None];4.75[('dim', 2.5), ('half-dim 7', 1.25), ('interval class 3', 0.625), ('tritone', 0.375)]
come_together;4;F;['None'];[('4/4', 1)];41.875;6.75;25.8125;0;81.375;0;33.4375;44.9375;7.25;120.25;0;19.0625;3.9375[('interval class 5', 3.875), ('interval class 4', 0.0625)];3.375[('interval class 3', 3.375)];5.75[('interval class 5', 5.75)];0[None];22.4375[('interval class 3', 12.5), ('interval class 5', 9.9375)];0[None];20.5625[('interval class 3', 17.9375), ('interval class 5', 2.625)];1[('interval class 5', 1)];2.4375[('interval class 3', 2.4375)];26.375[('interval class 5', 23.0), ('interval class 3', 2.5), ('interval class 2', 0.875)];0[None];0[None]
golden_slumbers;5;C;['None'];[('4/4', 3), ('2/4', 3)];53.8125;0;29.25;0;37.6875;27.1875;0;48.34375;2.75;38.1875;0;16.75;18.875[('major', 10.25), ('interval class 5', 4.375), ('interval class 4', 4.25)];0[None];2.75[('interval class 3', 2.75)];0[None];3.5[('interval class 3', 2.5), ('interval class 4', 1.0)];6.5[('major', 3.25), ('interval class 4', 1.0), ('maj7', 1.0), ('quartal', 1.0), ('interval class 5', 0.25)];0[None];5.5[('7', 4.5), ('interval class 5', 1)];1.75[('dim', 1.5), ('tritone', 0.25)];9.25[('minor-7', 3.25), ('interval class 5', 3.25), ('interval class 3', 1.5), ('unison', 1.0), ('7', 0.25)];0[None];5.25[('tritone', 3.0), ('dim', 1.25), ('interval class 2', 0.5), ('interval class 3', 0.5)]
her_majesty;2;D;['D'];[('4/4', 1)];21.75;0;9.375;0;9.625;7.0;0;14.5;0;8.25;0.75;5.625;5.125[('major', 2.875), ('interval class 4', 1.0), ('interval class 5', 1), ('7', 0.25)];0[None];2.75[('minor-7', 2.25), ('interval class 3', 0.5)];0[None];0.5[('dim', 0.5)];0.75[('major', 0.5), ('interval class 4', 0.25)];0[None];2.125[('7', 1.25), ('major', 0.625), ('interval class 4', 0.25)];0[None];3.75[('minor', 3.0), ('quartal', 0.75)];0[None];0.25[('dim', 0.25)]
here_comes_the_sun;10;A;['None'];[('4/4', 6), ('2/4', 6), ('5/8', 6), ('3/8', 6)];160.0;0;64.375;9.875;90.4375;120.4375;13.375;164.6875;0.875;65.4375;40.375;28.375;37.125[('interval class 5', 22.0), ('7', 7.25), ('unison', 7.125), ('major', 0.75)];0[None];1.5[('interval class 4', 1), ('unison', 0.25), ('interval class 3', 0.125), ('interval class 5', 0.125)];0.125[('unison', 0.125)];35.0[('interval class 3', 30.375), ('dim', 4.375), ('tritone', 0.25)];41.375[('interval class 4', 17.875), ('interval class 5', 16.25), ('major', 6.125), ('unison', 0.75), ('quartal', 0.375)];5[('interval class 3', 5)];25.625[('interval class 5', 9.375), ('interval class 4', 5.625), ('7', 4.125), ('interval class 2', 2.625), ('interval class 3', 2.25), ('quartal', 0.75), ('minor 7', 0.5), ('unison', 0.25), ('major pentatonic', 0.125)];0[None];3.375[('interval class 3', 2.25), ('interval class 2', 0.875), ('unison', 0.25)];11.375[('major', 4.25), ('interval class 5', 3.625), ('interval class 4', 2.625), ('maj7', 0.25), ('unison', 0.25), ('major 7', 0.125), ('quartal', 0.125), ('major-ninth', 0.125)];4.5[('interval class 3', 3.0), ('dim', 1.375), ('unison', 0.125)]
i_want_you_shes_so_heavy;5;C;['None'];[('4/4', 11), ('2/4', 8), ('6/8', 3)];75.21875;12.6875;112.40625;5.75;67.8125;107.3125;4.8125;44.75;33.90625;120.46875;8.0625;15.5625;15.875[('major', 5.25), ('interval class 4', 4.5), ('interval class 5', 4.125), ('aug', 2.0)];0[None];26.53125[('minor', 10.5), ('interval class 3', 8.0), ('interval class 5', 3.28125), ('major', 2.0), ('7', 1.5), ('minor 7', 0.5), ('minor-aug tetrachord', 0.5), ('interval class 4', 0.25)];0.125[('interval class 5', 0.125)];1.125[('major', 0.75), ('interval class 3', 0.375)];33.5625[('aug', 9.75), ('interval class 5', 9.375), ('major', 9.25), ('interval class 4', 3.9375), ('quartal', 1.25)];0.5[('half-dim 7', 0.5)];12.125[('interval class 4', 8.125), ('interval class 5', 4.0)];24.5[('dim', 22.0), ('interval class 3', 1.5), ('interval class 5', 1.0)];18.0[('interval class 5', 7.5), ('minor', 6.0), ('interval class 3', 4.0), ('minor 7', 0.5)];0[None];2.5[('half-dim 7', 1.75), ('interval class 5', 0.75)]
maxwells_silver_hammer;8;D;['None'];[('2/2', 1)];101.125;7.75;166.125;0.0625;80.875;52.5625;21.875;148.40625;3.25;98.6875;4.6875;75.8125;36.8125[('major', 24.5), ('interval class 4', 9.5625), ('7', 1.5), ('interval class 5', 1.25)];6.0[('dim', 6.0)];38.8125[('minor', 16.0), ('major', 16.0), ('interval class 3', 6.8125)];0[None];5.125[('interval class 3', 3.125), ('dim', 0.5), ('major', 0.5), ('interval class 4', 0.5), ('7', 0.5)];5.25[('interval class 5', 2.5), ('major', 2), ('interval class 4', 0.75)];0[None];35.125[('major', 30.75), ('interval class 4', 3), ('interval class 5', 0.875), ('interval class 3', 0.5)];1.0[('dim', 1.0)];4.75[('minor', 3.0), ('interval class 3', 1.75)];0[None];1.75[('interval class 3', 1.75)]
mean_mr_mustard;5;E;['None'];[('12/8', 1)];23.0;1.125;27.25;6.125;10.625;16.25;2.125;35.0;10.3125;7.375;11.75;13.9375;9.375[('major', 5.0), ('7', 2.25), ('interval class 3', 0.875), ('interval class 5', 0.75), ('interval class 4', 0.375), ('interval class 2', 0.125)];0.5[('major', 0.5)];1.75[('interval class 5', 1.0), ('interval class 3', 0.75)];0[None];1.25[('interval class 3', 0.625), ('7', 0.625)];1.625[('interval class 4', 1.5), ('interval class 3', 0.125)];1.375[('7', 1.375)];12.75[('major', 6.375), ('7', 4.625), ('interval class 4', 1.25), ('perfect-fourth minor tetrachord', 0.5)];2.75[('major', 1.5), ('interval class 5', 1.0), ('interval class 4', 0.25)];0.25[('interval class 3', 0.25)];5.125[('major', 2.5), ('7', 2.0), ('interval class 4', 0.625)];0[None]
octopuss_garden;6;E;['None'];[('4/4', 1)];130.03125;0;43.25;0.375;80.625;59.6875;0.0625;87.03125;0;98.234375;4.25;30.390625;19.125[('major', 15.75), ('interval class 4', 2.5), ('interval class 5', 0.875)];0[None];4.0625[('minor', 2.5), ('interval class 5', 1.0), ('interval class 3', 0.5625)];0.125[('aug', 0.125)];1.375[('interval class 3', 1.25), ('minor', 0.125)];20.5625[('major', 15.1875), ('interval class 4', 3.5), ('interval class 5', 1.875)];0.0625[('interval class 3', 0.0625)];21.0625[('major', 13.125), ('interval class 4', 6.0), ('unison', 0.9375), ('interval class 5', 0.5), ('7', 0.5)];0[None];33.5[('minor', 21.8125), ('interval class 3', 11.5), ('unison', 0.125), ('interval class 5', 0.0625)];1.5[('major', 1.5)];4.375[('interval class 3', 2.75), ('tritone', 0.75), ('dim', 0.375), ('interval class 2', 0.25), ('unison', 0.25)]
